headword_as_printed	expanded_form	inflection	pos	glosses	source_page	image_verified	scan_url
Հրաւիրեմ		եցի	va.	to invite, to desire, to invite to a feast or assembly; to convoke, to convene; to invite, to desire, to invite to a feast or assembly; to convoke, to convene	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրաւիրումն			s.	invitation; invitation.	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրաւոր			a.	fiery; s. ast. Mars; Mars	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրդեհ		ից	s.	fire, conflagration	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրեղէն			a.	of fire, fiery, igneous; empyreal, celestial, spiritual, angelic; of fire, fiery, igneous; empyreal, celestial, spiritual, angelic	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրեշտակ		աց	s.	angel; deputy; messenger, envoy, ambassador, legate; courier, express; indication, sign, token; angel; deputy; messenger, envoy, ambassador, legate; courier, express; indication, sign, token	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրեշտակաբար			ad.	in an angelic manner; in an angelic man-	dict-456.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրարուեստք			s.	pyrotechnics	dict-456.png	0	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրեշտակեմ		եցի	va.	to announce; to herald.; to announce, to herald.	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրեշտակերամ			s.	the hosts of the angels.	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրեշտակիկ			s.	little angel; cherub; [-ս, my -].; little angel, cherub;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրեշտակութիւն			s.	angelic nature; embassy; message; deputation; delegation; angelic nature;; embassy, message, deputation, delegation;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրեշտակօրէն					dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրետ		ից	s.	cannon; gun; piece of ordnance; cannon, gun, piece of ordnance;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրետեմ		եցի	va.	to cannonade; to cannonade;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրետումն			s.	cannonade.	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրէաբար			ad.	like a Jew, after the manner of the Hebrews; like a Jew, after the manner of the Hebrews;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրէայ			s.	jew, hebrew, israelite	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրեայ			s.	jew, hebrew, israelite	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրէից			s.	jew, hebrew, israelite; jew, hebrew, israelite;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրէանամ		ացայ	vn.	to become a hebrew, to embrace judaism; to judaize.; to become a hebrew, to embrace judaism; to judaize.	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրէապետ		աց	s.	chief of the hebrew nation; chief of the hebrew nation;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրէապէս					dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրէաստան		ի	s.	Judea; Judea;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրէարէն			ad.	in hebrew; in hebrew;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրէացուցանեմ			va.	to convert to judaism.	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրէշ		ից	s.	monster; portent, prodigy, moon-calf.; monster; portent, prodigy, moon-calf.	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրէուհի			s.	judaism. [digy, moon-calf.	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրընկեցութիւն			s.		dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրընկէց			a.	fire-hurling, thunder-striking, fulminating; fire-hurling, thunder-striking, fulminating;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրթիռ					dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրիտակ		աց	s.	inheritance; legacy, bequest, gift by will, endowment; inheritance; legacy, bequest, gift by will, endowment;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրկենի			s. bot.	roucou- or annotto-tree.	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրկէզ			a.	burnt, kindled, on fire; s. fire; burnt, kindled, on fire;; fire;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրկիզեմ					dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրկիզումն			s.	burning, conflagration, fire.	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրձիգ			s.	fire-brand, incendiary, burner; linstock; fire-brand, incendiary, burner; linstock;; conflagration, fire;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
*Հրճհրճուկ					dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրճուալի		լիր, լից	a.	joyful, gay, cheerful, merry; joyful, gay, cheerful, merry;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրճուանք			s.	joy, mirth, rejoicing, cheerfulness, gaiety, sportiveness, delight, pleasure; joy, mirth, rejoicing, cheerfulness, gaiety, sportiveness, delight, pleasure;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրճուեցուցանեմ			va.	to rejoice, to divert, to amuse; to rejoice, to divert, to amuse;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրետակոծութիւն			s.	cannonade, -ding;	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրկիզութի	Հրկիզութիւն	ումն	s.	burning, conflagration, fire.	dict-457.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf226.jpg
Հրճուիմ		եցայ	vn.	to be joyful, in a merry mood; to thrill with joy; to leap for joy; to be transported with joy; to shout for joy; to be over-joyed; to exult; to rejoice greatly; to be in a rapture of joy; to be beside oneself with joy.; to be joyful, in a merry mood, to thrill with joy, to leap for joy, to be transported with joy, to shout for joy, to be over-joyed, to exult, to rejoice greatly, to be in a rapture of joy, to be beside oneself with joy.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրճուողական					dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրշէջ			s.	steam-pump; engine.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրոս		ի, իւ	s.	militia men, troops; military banditti, horde; band, gang, crew; scout, rover, robber, plunderer	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրոսակ		աց	s.	bandit-to, bandit	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրոսակեմ			vn.	to fall upon, to make an inroad, to invade, to sack, to plunder	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրոսիմ			vn.	to rush, to fall upon impetuously.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրովարտակ		աց	s.	edict, decree	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրոտից			s.	the twelfth month of the ancient Armenian calendar.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրուանդան		աց	s.	headland, promontory, cape, foreland.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրուկ			s.	roucou, arnotto (dye).	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրուի			s.	fiery nature; ardor, heat.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
*Հրուշակ		Խր–	s.	helvà, a sweet meat.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրուտ			a.	ignited, burning.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հօտ		ից	s.	flock, flock of sheep, of goats, fold; fig. the faithful, the universal Church.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հօտաժողով			a.	collecting the scattered flock	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
*Հօտեմ					dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հօտերէց					dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հօտխոտն			s. bot.	lycopodium, club-moss.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հօրաբարոյ					dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հօրան		աց	s.	flock or herd of animals	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հօրաքեռադուստր			sf.	cousin, daughter of father's sister	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հօրեղբայր			s.	uncle, father's brother	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հօրու		ի, աւ	s.	step-father.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հօփալ		ի	s.	wood-pigeon.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձ		(tzä)	ձայ s.	the seventeenth letter of the alphabet, & the twelfth of the consonants; eighty; eightieth. — It has much affinity with the letter ծ, & is confounded sometimes with it; for example: խնձոր, խնծոր; ընձայ, ընծայ; գձուձ, գծուծ, &c.; eightieth.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձաբռաւեմ			vn.	to tremble with age, to write in a trembling hand.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձագ		ուց	s.	the young of any animal	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձագար		ի, աւ	s.	funnel, tun-dish.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձագարան			s.	nest; niche, cell. [pip.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձագանամ, Ձագեմ			vn.	to chirp, to	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձագեմ			vn.		dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձագթոռնեայ			s.	great-great-grand-nephew or niece.; great-great-grandnephew or niece.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձագիկ			s.	very young animal or bird.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձախ		ոյ or ու	a.	left; sinister; left-	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Հրշտեմ			vn.	to fear, to be afraid.	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
*Ձագագիր			s.	bird-shaped initial letter	dict-458.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձախաթեւ			s.	left arm	dict-459.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձախակողմեան			a.	left, that is on the left	dict-459.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձախանամ			vn.	to be deteriorated; to be deteriorated.	dict-459.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձախլիկ			s.	left-handed person; left-handed person.	dict-459.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձախող		-ակ	a.	sinister, sinistrous, untoward, unfortunate, unlucky, bad, sorrowful, sad, unfavourable, contrary	dict-459.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձախողակ			ad.	sinistrously, unfavourably, awkwardly, untowardly, perversely, unluckily, unfortunately	dict-459.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձախողանք					dict-459.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
Ձախողիմ		եցայ	vn.	to be unsuccessful, not to attain one's end, to find oneself wofully disappointed, to go to rack & ruin, to endure, undergo or suffer failure, to experience misfortune, to be unfortunate; to be unsuccess-ful, not to attain one's end, to find oneself wofully disappointed, to go to rack & ruin, to endure, undergo or suffer failure, to experience misfor-tune, to be unfortunate.	dict-459.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf227.jpg
